S2A_MSIL2A_20251217T182811_N0511_R127_T11SQA_20251217T214314.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2C_MSIL2A_20251215T182801_N0511_R127_T11SQA_20251215T210308.SAFE	geography'SRID=4326;POLYGON ((-114.76503121934554 36.57475993156562, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.55005420648754 36.30746025250831, -113.62192567427229 36.324534879110544, -113.62168622576448 36.32528781557618, -113.62199753585368 36.32536204753248, -113.6217367545717 36.32618180184864, -113.62311985819386 36.32651278221652, -113.62271242547556 36.32779533271909, -113.89702364523365 36.39198264489002, -113.89738595492045 36.39206239347715, -113.89795982676056 36.39022830181456, -114.1417373192544 36.44397283979617, -114.14159474477071 36.44442801490143, -114.14161727009795 36.44443299152895, -114.14141469113697 36.44507935952582, -114.14253450176781 36.44532698063043, -114.14222806612163 36.446306421029696, -114.40075974555826 36.50150295663252, -114.40074318962131 36.50155696079281, -114.40611775697091 36.502646892525966, -114.4151707729244 36.50457971220392, -114.4152136867421 36.504440213654114, -114.41544018707984 36.50448612155378, -114.4157298822184 36.503544272565925, -114.41584626737482 36.50356786824442, -114.41598594821556 36.50311348552031, -114.65866780203784 36.55229384039604, -114.65824102759092 36.55369786551447, -114.65870302146116 36.553791504086746, -114.65868060323363 36.553865203294166, -114.65888471773272 36.553906596555294, -114.65878405753021 36.55423812214419, -114.76503121934554 36.57475993156562))'
S2C_MSIL2A_20251205T182751_N0511_R127_T11SQA_20251205T205614.SAFE	geography'SRID=4326;POLYGON ((-114.76008155023031 36.74680031491779, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.54232354945188 36.48106113636505, -113.56531431130122 36.48652167646165, -113.56506187379428 36.487307823662576, -113.56576140505975 36.487474563559765, -113.56549969525008 36.48829242650534, -113.5665986991108 36.48855528889313, -113.56612717035232 36.49002280508366, -113.84124545566992 36.554408725510605, -113.84132735026385 36.55414697986832, -113.84149830700655 36.5541843237595, -113.8415374837689 36.55405934010368, -113.84186040780257 36.55412998997016, -113.8424370928361 36.552292597591546, -114.08747176846607 36.605996957677874, -114.08730172480324 36.60655321218128, -114.08769050561085 36.60663868197778, -114.08746914228529 36.607365152296175, -114.08828354463786 36.607544531480826, -114.08779334544921 36.609145533502826, -114.36045742399651 36.66711700765649, -114.36058091587692 36.6667170008336, -114.36068490302348 36.666738093316745, -114.36112535274815 36.66531586511436, -114.60422699189388 36.71460882233363, -114.60407424162858 36.71510647703633, -114.60423586440419 36.715139253773366, -114.60394787205475 36.71608092311875, -114.60448840971577 36.71619056437618, -114.6044670258716 36.71626046128935, -114.60453381766744 36.716274006780125, -114.60438705793518 36.71675184327312, -114.76008155023031 36.74680031491779))'
S2C_MSIL2A_20251125T182721_N0511_R127_T11SQA_20251126T004211.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2B_MSIL2A_20251110T182509_N0511_R127_T11SQA_20251110T215523.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2A_MSIL2A_20251107T182811_N0511_R127_T11SQA_20251107T214515.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2B_MSIL2A_20251031T182419_N0511_R127_T11SQA_20251031T220816.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2C_MSIL2A_20251026T182501_N0511_R127_T11SQA_20251026T211016.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2A_MSIL2A_20251018T182811_N0511_R127_T11SQA_20251018T214513.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2C_MSIL2A_20251016T182351_N0511_R127_T11SQA_20251016T212415.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2C_MSIL2A_20251006T182241_N0511_R127_T11SQA_20251006T231415.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2B_MSIL2A_20251001T182109_N0511_R127_T11SQA_20251001T232819.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2B_MSIL2A_20250921T181949_N0511_R127_T11SQA_20250921T231804.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2C_MSIL2A_20250916T182021_N0511_R127_T11SQA_20250917T005915.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
S2B_MSIL2A_20250911T181919_N0511_R127_T11SQA_20250911T233348.SAFE	geography'SRID=4326;POLYGON ((-114.75206945697533 37.02528430302893, -114.78052649213596 36.03617591535172, -113.56341398032555 36.007451011934776, -113.51941449107781 36.995510653879045, -114.75206945697533 37.02528430302893))'
